unique_rule_id,category_code,set_id,or_and_flag,value_date_flag,amount_flag,ls_flag,dc_flag,ref1,ref2,ref3,ref4
SG\2021\NOS\MAT-0050,SINGAPORE,ALL,AND,No,Same,L,A,,|EXACT|CASH EXCEES TELLER 03 |PARTNAME|,,
SG\2021\NOS\MAT-0050,SINGAPORE,ALL,AND,No,Same,S,A,,,|EXACT|REV CASH EXCEES TELLER 03 |PARTNAME|,
SG\2021\NOS\MAT-0015,SINGAPORE,ALL,AND,No,Same,L,A,,|EXACT|FX|EXP|(\d{9}),,
SG\2021\NOS\MAT-0015,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|FX|EXP|(\d{9}),
SG\2021\NOS\MAT-0028,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXP|(\d{15})0,
SG\2021\NOS\MAT-0028,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|ECASH ADV/|EXP|(\d{15})|EXACT|5/992919,
SG\2021\NOS\MAT-0029,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|PROCESSING FEE|EXP|(\d{16}),
SG\2021\NOS\MAT-0029,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|E/R PF|EXP|(\d{16}),
SG\2021\NOS\MAT-0032,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXP|(\d{7})|EXACT|XXXXXXXXX|EXP|(\d{4}),
SG\2021\NOS\MAT-0032,SINGAPORE,ALL,AND,No,Same,S,A,,,|EXP|(\d{7})|EXP|\d{9}|EXP|(\d{4}),
SG\2021\NOS\MAT-0015,SINGAPORE,ALL,AND,No,Same,L,A,,|EXACT|FX|EXP|(\d{9})|IGNORE|AMDXX,,
SG\2021\NOS\MAT-0015,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|FX|EXP|(\d{9})|IGNORE|AMDXX,
SG\2021\NOS\ITEM-0001,SINGAPORE,ALL,AND,No,Same,L,A,"|FIELD_VALUE|ITEM_ID|.*ITEM.*ID.*(\d{5,15})",,,
SG\2021\NOS\ITEM-0001,SINGAPORE,ALL,AND,No,Same,S,A,,,,
SG\2021\NOS\MAT-0034,SINGAPORE,ALL,AND,No,Same,L,A,|ID|123|PerfRef|RL|5-10,,,
SG\2021\NOS\MAT-0034,SINGAPORE,ALL,AND,No,Same,S,A,,,|ID|123|PerfRef|RL|5-10,
SG\2021\NOS\MAT-0035,SINGAPORE,ALL,AND,No,Same,L,A,|ID|123|PerfRef|RL|5,,,
SG\2021\NOS\MAT-0035,SINGAPORE,ALL,AND,No,Same,S,A,,,|ID|123|PerfRef|RL|5,
SG\2021\NOS\MAT-0036,SINGAPORE,ALL,AND,No,Same,L,A,|ID|123|PerfRef|RL|5-,,,
SG\2021\NOS\MAT-0036,SINGAPORE,ALL,AND,No,Same,S,A,,,|ID|123|PerfRef|RL|5-,
SG\2021\NOS\MAT-0037,SINGAPORE,ALL,AND,No,Same,L,A,|PerfRef|RL|5-,,,
SG\2021\NOS\MAT-0037,SINGAPORE,ALL,AND,No,Same,S,A,,,|PerfRef|RL|5-,
SG\2021\NOS\MAT-0038,SINGAPORE,ALL,AND,No,Same,L,A,|PerfRef|,,,
SG\2021\NOS\MAT-0038,SINGAPORE,ALL,AND,No,Same,S,A,,,|PerfRef|,
