unique_rule_id,category_code,set_id,or_and_flag,value_date_flag,amount_flag,ls_flag,dc_flag,ref1,ref2,ref3,ref4
SG\2021\NOS\MAT-0001,SINGAPORE,ALL,OR,No,Same,L,A,,|EXACT|MCY USD SETT,,
SG\2021\NOS\MAT-0001,SINGAPORE,ALL,AND,No,Same,S,A,,,,|EXACT|JP MORGAN CHASE BANK
SG\2021\NOS\MAT-0015,SINGAPORE,ALL,AND,No,Same,L,A,,|EXACT|FX|EXP|(\d{9}),,
SG\2021\NOS\MAT-0015,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|FX|EXP|(\d{9}),
SG\2021\NOS\MAT-0022,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|ATM WDR AT 2198 VISA |EXP|(\d{2}:\d{2}:\d{2})|,|EXACT|PAYMENT OF |EXP|(\d{9})|EXACT|7000
SG\2021\NOS\MAT-0022,SINGAPORE,ALL,AND,No,Same,S,A,,|EXP|(\d{2}:\d{2}:\d{2}),,|EXACT|458588|EXP|(\d{9})|EXACT|0
SG\2021\NOS\MAT-0023,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|VC 18360/|EXP|(\d{6})|DT_FRMT|DDMMYY|EXACT|ATM ACQ IN,
SG\2021\NOS\MAT-0023,SINGAPORE,ALL,AND,No,Same,S,A,,,,
SG\2021\NOS\MAT-0024,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|AT WDR AT 2164 MDS|EXP|(\d{2}:\d{2}:\d{2})|OP|REP|:||,
SG\2021\NOS\MAT-0024,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXP|(\d{6}),
SG\2021\NOS\MAT-0027,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|MC IC |EXP|(.*)|DT_FRMT|DD.MM.YY|EXACT|JD 033,
SG\2021\NOS\MAT-0027,SINGAPORE,ALL,AND,No,Same,L,A,,,,
SG\2021\NOS\MAT-0028,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXP|(\d{15})0,
SG\2021\NOS\MAT-0028,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|ECASH ADV/|EXP|(\d{15})|EXACT|5/992919,
SG\2021\NOS\MAT-0029,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|PROCESSING FEE|EXP|(\d{16}),
SG\2021\NOS\MAT-0029,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|E/R PF|EXP|(\d{16}),
SG\2021\NOS\MAT-0031,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|DEWA BILL PAYMENT-|EXP|(\d{2} [A-Z]{3} \d{4})|DT_FRMT|DD MON YYYY,
SG\2021\NOS\MAT-0031,SINGAPORE,ALL,AND,No,Same,S,A,,,,
SG\2021\NOS\MAT-0032,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXP|(\d{7})|EXACT|XXXXXXXXX|EXP|(\d{4}),
SG\2021\NOS\MAT-0032,SINGAPORE,ALL,AND,No,Same,S,A,,,|EXP|(\d{7})|EXP|\d{9}|EXP|(\d{4}),
SG\2021\NOS\MAT-0033,SINGAPORE,ALL,AND,No,Same,L,A,,,|EXACT|DEWA|EXP|(\d{8})|DT_FRMT|DDMMY,
SG\2021\NOS\MAT-0033,SINGAPORE,ALL,AND,No,Same,S,A,,,,
SG\2021\NOS\MAT-0034,SINGAPORE,ALL,AND,No,Same,L,A,|ID|123|PerfRef|RL|5-10,,,
SG\2021\NOS\MAT-0034,SINGAPORE,ALL,AND,No,Same,S,A,,,|ID|123|PerfRef|RL|5-10,
